season,x,y,made_shot
2003-04,-18,7,1
2003-04,13,31,0
2003-04,18,2,0
2003-04,3,13,1
2003-04,5,-3,1
2003-04,117,-18,0
2003-04,1,0,1
2003-04,-232,-21,0
2003-04,110,46,0
2003-04,3,2,0
2003-04,117,127,0
2003-04,1,2,1
2003-04,-80,10,1
2003-04,-176,345,0
2003-04,-48,15,0
2003-04,120,-11,1
2003-04,113,59,0
2003-04,39,13,1
2003-04,15,-5,0
2003-04,75,238,0
2003-04,0,-5,1
2003-04,248,-16,0
2003-04,29,173,0
2003-04,18,250,1
2003-04,-94,22,0
2003-04,-52,13,0
2003-04,-141,201,0
2003-04,23,0,0
2003-04,-97,15,0
2003-04,-18,7,1
2003-04,66,23,0
2003-04,44,-23,0
2003-04,-130,33,0
2003-04,-79,127,0
2003-04,-122,38,0
2003-04,5,3,1
2003-04,-141,207,0
2003-04,-13,-19,0
2003-04,-135,-1,0
2003-04,209,-28,0
2003-04,1,0,1
2003-04,-145,18,1
2003-04,11,40,0
2003-04,-5,-11,1
2003-04,52,53,0
2003-04,-138,173,0
2003-04,-82,53,1
2003-04,148,22,0
2003-04,5,-6,1
2003-04,-115,158,0
2003-04,0,45,0
2003-04,1,-6,1
2003-04,18,-3,0
2003-04,108,132,1
2003-04,-105,17,0
2003-04,5,22,1
2003-04,-169,8,0
2003-04,-21,3,1
2003-04,-126,51,1
2003-04,-136,117,1
2003-04,1,41,1
2003-04,1,160,0
2003-04,-3,-3,1
2003-04,1,-5,1
2003-04,-57,122,0
2003-04,10,94,1
2003-04,6,0,1
2003-04,-16,10,1
2003-04,0,12,0
2003-04,-8,2,0
2003-04,-10,0,1
2003-04,-182,-8,1
2003-04,-18,-5,1
2003-04,3,166,0
2003-04,72,63,0
2003-04,0,0,0
2003-04,62,82,1
2003-04,-176,115,0
2003-04,-163,-9,1
2003-04,0,0,0
2003-04,135,158,1
2003-04,107,176,0
2003-04,-120,5,1
2003-04,-138,-9,0
2003-04,0,54,1
2003-04,-146,-5,0
2003-04,0,0,0
2003-04,184,81,1
2003-04,0,0,0
2003-04,-6,28,1
2003-04,0,0,0
2003-04,0,0,0
2003-04,-15,46,0
2003-04,-31,31,0
2003-04,-97,8,0
2003-04,-133,56,0
2003-04,-23,-9,0
2003-04,135,64,1
2003-04,-204,138,1
2003-04,-210,-26,0
2003-04,-194,150,0
2003-04,-172,20,1
2003-04,-197,-3,0
2003-04,107,2,1
2003-04,-3,0,1
2003-04,-29,7,1
2003-04,151,68,0
2003-04,74,238,0
2003-04,-168,183,0
2003-04,15,5,1
2003-04,217,125,0
2003-04,117,12,0
2003-04,141,100,0
2003-04,0,0,0
2003-04,0,0,0
2003-04,0,0,0
2003-04,164,-1,1
2003-04,0,0,1
2003-04,163,138,1
2003-04,-120,127,1
2003-04,128,5,0
2003-04,0,0,0
2003-04,13,68,0
2003-04,0,0,0
2003-04,-238,74,0
2003-04,0,0,1
2003-04,-82,46,0
2003-04,0,0,0
2003-04,141,217,0
2003-04,113,17,0
2003-04,15,41,1
2003-04,72,35,1
2003-04,39,33,1
2003-04,0,0,1
2003-04,0,0,1
2003-04,-149,40,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,0,36,0
2003-04,0,0,0
2003-04,136,220,1
2003-04,123,26,0
2003-04,-141,26,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,141,68,0
2003-04,-25,71,1
2003-04,0,0,1
2003-04,0,0,1
2003-04,149,192,0
2003-04,0,0,1
2003-04,-169,138,0
2003-04,87,74,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,-187,12,1
2003-04,-3,365,0
2003-04,0,0,0
2003-04,49,68,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,-153,-8,0
2003-04,-130,20,1
2003-04,105,169,0
2003-04,0,0,1
2003-04,3,72,0
2003-04,6,0,1
2003-04,-8,8,1
2003-04,-85,64,0
2003-04,62,20,1
2003-04,5,2,0
2003-04,-3,8,1
2003-04,-3,-1,1
2003-04,-159,0,0
2003-04,200,140,0
2003-04,-108,56,1
2003-04,148,120,0
2003-04,133,-3,0
2003-04,-44,12,1
2003-04,195,74,0
2003-04,-16,169,1
2003-04,-220,104,1
2003-04,34,215,1
2003-04,138,122,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,171,0,0
2003-04,64,22,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,163,26,0
2003-04,0,0,0
2003-04,0,0,0
2003-04,174,174,1
2003-04,0,0,1
2003-04,118,100,0
2003-04,26,51,0
2003-04,-223,3,1
2003-04,0,0,0
2003-04,-38,2,0
2003-04,-5,82,0
2003-04,164,-18,0
2003-04,10,8,1
2003-04,89,0,0
2003-04,6,-8,1
2003-04,-5,3,1
2003-04,8,3,0
2003-04,-3,0,1
2003-04,-2,3,1
2003-04,223,-23,0
2003-04,-2,13,1
2003-04,-6,-3,1
2003-04,-158,163,1
2003-04,-99,-19,0
2003-04,233,43,0
2003-04,34,35,0
2003-04,172,89,0
2003-04,10,18,0
2003-04,5,-3,1
2003-04,110,-9,1
2003-04,-140,210,0
2003-04,156,-16,1
2003-04,79,10,0
2003-04,-26,125,1
2003-04,0,0,1
2003-04,0,0,1
2003-04,36,46,1
2003-04,-161,5,0
2003-04,0,0,0
2003-04,-182,-16,0
2003-04,-18,276,0
2003-04,0,0,1
2003-04,-77,255,0
2003-04,-232,112,0
2003-04,-26,40,0
2003-04,0,0,0
2003-04,113,109,1
2003-04,0,0,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,0,0,1
2003-04,-13,219,0
2003-04,235,-14,1
2003-04,0,0,0
2003-04,166,51,0
2003-04,-13,33,1
2003-04,110,145,0
2003-04,95,7,0
2003-04,59,13,0
2003-04,153,36,0
2003-04,0,0,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,103,164,1
2003-04,-135,61,0
2003-04,-38,33,0
2003-04,77,26,0
2003-04,0,0,1
2003-04,-5,35,1
2003-04,-41,92,0
2003-04,16,0,0
2003-04,-212,46,1
2003-04,-207,74,1
2003-04,-161,38,0
2003-04,-8,5,1
2003-04,0,13,1
2003-04,-23,12,1
2003-04,-215,89,1
2003-04,-6,-5,1
2003-04,0,5,1
2003-04,-204,26,1
2003-04,0,81,0
2003-04,190,82,1
2003-04,-102,181,0
2003-04,-151,-3,0
2003-04,-113,109,1
2003-04,228,105,0
